"15453","27474","75411","81565","83856","83989","85686","86233","88258","90440"
,Returns,Ratio
2007-06-30,0.000760647901839,7.60647901839e-05
2007-07-31,0.00819088518286,0.000819088518286
2007-08-31,0.0128548688679,0.00128548688679
2007-09-30,0.0215487445204,0.00215487445204
2007-10-31,0.039060682191,0.0039060682191
2007-11-30,0.0083300450507,0.00083300450507
2007-12-31,0.0129608795114,0.00129608795114
2008-01-31,0.0537410535441,0.00537410535441
2008-02-29,0.0090199422007,0.00090199422007
2008-03-31,0.0328304591968,0.00328304591968
2008-04-30,0.0176169631094,0.00176169631094
2008-05-31,0.00580316218613,0.000580316218613
2008-06-30,0.0105840018998,0.00105840018998
2008-07-31,0.0808948554283,0.00808948554283
2008-08-31,0.0475740698424,0.00475740698424
2008-09-30,0.0298894082193,0.00298894082193
2008-10-31,0.0713164792068,0.00713164792068
2008-11-30,0.0554474745005,0.00554474745005
2008-12-31,0.0512970672471,0.00512970672471
2009-01-31,0.0807785181866,0.00807785181866
2009-02-28,0.0342031227783,0.00342031227783
2009-03-31,0.028339679805,0.0028339679805
2009-04-30,0.0169756065795,0.00169756065795
2009-05-31,0.0109170876446,0.00109170876446
2009-06-30,0.0167521990636,0.00167521990636
2009-07-31,0.0259018129825,0.00259018129825
2009-08-31,0.0137997180268,0.00137997180268
2009-09-30,0.0610429011514,0.00610429011514
2009-10-31,0.00590760519727,0.000590760519727
2009-11-30,0.0285460284306,0.00285460284306
2009-12-31,0.0383881237448,0.00383881237448
2010-01-31,0.0429506768993,0.00429506768993
2010-02-28,0.00361487462798,0.000361487462798
2010-03-31,0.0124751908011,0.00124751908011
2010-04-30,0.00638155401355,0.000638155401355
2010-05-31,0.00538142058198,0.000538142058198
2010-06-30,0.006999327694,0.0006999327694
2010-07-31,0.0309625479234,0.00309625479234
2010-08-31,0.0139763320791,0.00139763320791
2010-09-30,0.0108804747926,0.00108804747926
2010-10-31,0.0180258990089,0.00180258990089
2010-11-30,0.0215011817788,0.00215011817788
2010-12-31,0.00999641221679,0.000999641221679
2011-01-31,0.012727704958,0.0012727704958
2011-02-28,0.0118736625593,0.00118736625593
2011-03-31,0.00778685978814,0.000778685978814
2011-04-30,0.0578791570285,0.00578791570285
2011-05-31,0.010820951462,0.0010820951462
2011-06-30,0.0125162513835,0.00125162513835
2011-07-31,0.0241048108836,0.00241048108836
2011-08-31,0.0033872203949,0.00033872203949
2011-09-30,0.00572810515695,0.000572810515695
2011-10-31,0.0103312076997,0.00103312076997
2011-11-30,0.0126195012755,0.00126195012755
2011-12-31,0.00573082744048,0.000573082744048
2012-01-31,0.0416885439308,0.00416885439308
2012-02-29,0.00398632205848,0.000398632205848
2012-03-31,0.0309169131981,0.00309169131981
2012-04-30,0.00491050612095,0.000491050612095
2012-05-31,0.00682766934924,0.000682766934924
2012-06-30,0.00670938349095,0.000670938349095
2012-07-31,0.0347427834247,0.00347427834247
2012-08-31,0.0146800996621,0.00146800996621
2012-09-30,0.0133370470122,0.00133370470122
2012-10-31,0.0152506722225,0.00152506722225
